Name;Exp.;Bid;Ask;Last;High;Low;Openinterest;Volume;Underlying;Strike
ERICB0L30Y85;2020-12-30;12.25;14.25;;;;;;100.00;85
ERICB0L30Y87.50;2020-12-30;10;12;;;;;;100.00;87.5
ERICB0L30Y90;2020-12-30;7.7;8.9;;;;;;100.00;90
ERICB0L30Y92.50;2020-12-30;5.2;6.4;;;;2;;100.00;92.5
ERICB0L30Y95;2020-12-30;3;4;;;;;;100.00;95
ERICB0L30Y97.50;2020-12-30;0.95;1.75;1.25;1.25;1.25;75;4;100.00;97.5
ERICB0L30Y100;2020-12-30;0.01;0.8;;;;80;;100.00;100
ERICB0L30Y102.50;2020-12-30;;0.8;;;;20;;100.00;102.5
ERICB0L30Y105;2020-12-30;;0.8;;;;3;;100.00;105
ERICB0L30Y107.50;2020-12-30;;0.8;;;;;;100.00;107.5
ERICB0L30Y110;2020-12-30;;0.8;;;;;;100.00;110
ERICB0L30Y112.50;2020-12-30;;0.8;;;;;;100.00;112.5
ERICB0L30Y115;2020-12-30;;0.8;;;;;;100.00;115
ERICB0L30Y117.50;2020-12-30;;0.8;;;;;;100.00;117.5
ERICB1A08Y85;2021-01-08;12.5;14.5;;;;;;100.00;85
ERICB1A08Y87.50;2021-01-08;10;12;;;;;;100.00;87.5
ERICB1A08Y90;2021-01-08;7.9;9.1;;;;;;100.00;90
ERICB1A08Y92.50;2021-01-08;5.4;6.6;;;;;;100.00;92.5
ERICB1A08Y95;2021-01-08;3.4;4.4;;;;;;100.00;95
ERICB1A08Y97.50;2021-01-08;1.75;2.55;;;;;;100.00;97.5
ERICB1A08Y100;2021-01-08;0.5;1.3;;;;77;;100.00;100
ERICB1A08Y102.50;2021-01-08;0.01;0.8;;;;;;100.00;102.5
ERICB1A08Y105;2021-01-08;0.01;0.8;;;;;;100.00;105
ERICB1A08Y107.50;2021-01-08;;0.8;;;;;;100.00;107.5
ERICB1A08Y110;2021-01-08;;0.8;;;;;;100.00;110
ERICB1A08Y112.50;2021-01-08;;0.8;;;;;;100.00;112.5
ERICB1A08Y115;2021-01-08;;0.8;;;;;;100.00;115
ERICB1A08Y117.50;2021-01-08;;0.8;;;;;;100.00;117.5
ERICB1A82.50;2021-01-15;15.25;16.75;;;;;;100.00;82.5
ERICB1A85;2021-01-15;12.75;14.25;;;;1;;100.00;85
ERICB1A87.50;2021-01-15;10.5;11.5;;;;;;100.00;87.5
ERICB1A90;2021-01-15;8.2;9.1;;;;21;;100.00;90
ERICB1A92.50;2021-01-15;6;6.8;;;;;;100.00;92.5
ERICB1A95;2021-01-15;4.05;4.8;;;;135;;100.00;95
ERICB1A97.50;2021-01-15;2.4;3.05;2.5;2.5;2.5;7;8;100.00;97.5
ERICB1A100;2021-01-15;1.35;1.7;1.65;1.65;1.3;4 024;50;100.00;100
ERICB1A102.50;2021-01-15;0.6;0.85;0.7;0.7;0.7;1 285;10;100.00;102.5
ERICB1A105;2021-01-15;0.2;0.55;;;;2 622;;100.00;105
ERICB1A107.50;2021-01-15;0.06;0.45;;;;545;;100.00;107.5
ERICB1A110;2021-01-15;0.1;0.4;;;;1 610;;100.00;110
ERICB1A112.50;2021-01-15;0.01;0.4;;;;235;;100.00;112.5
ERICB1A115;2021-01-15;0.01;0.4;;;;1 775;;100.00;115
ERICB1A117.50;2021-01-15;0.01;0.4;;;;60;;100.00;117.5
ERICB1A120;2021-01-15;0.01;0.4;;;;61;;100.00;120
ERICB1A122.50;2021-01-15;0.01;0.4;;;;;;100.00;122.5
ERICB1A22Y85;2021-01-22;12.5;14.5;;;;;;100.00;85
ERICB1A22Y87.50;2021-01-22;10;12;;;;;;100.00;87.5
ERICB1A22Y90;2021-01-22;8.1;9.3;;;;;;100.00;90
ERICB1A22Y92.50;2021-01-22;5.9;7.1;;;;;;100.00;92.5
ERICB1A22Y95;2021-01-22;4.2;5.2;;;;;;100.00;95
ERICB1A22Y97.50;2021-01-22;2.5;3.5;;;;;;100.00;97.5
ERICB1A22Y100;2021-01-22;1.35;2.15;;;;;;100.00;100
ERICB1A22Y102.50;2021-01-22;0.5;1.3;;;;4;;100.00;102.5
ERICB1A22Y105;2021-01-22;0.05;0.85;;;;;;100.00;105
ERICB1A22Y107.50;2021-01-22;0.01;0.8;;;;;;100.00;107.5
ERICB1A22Y110;2021-01-22;0.01;0.8;;;;;;100.00;110
ERICB1B85;2021-02-19;14;15;;;;;;100.00;85
ERICB1B87.50;2021-02-19;11.75;13;;;;;;100.00;87.5
ERICB1B90;2021-02-19;9.8;10.5;;;;910;;100.00;90
ERICB1B92.50;2021-02-19;7.9;8.8;;;;;;100.00;92.5
ERICB1B95;2021-02-19;6.2;7.2;6.8;6.8;6.8;15;45;100.00;95
ERICB1B97.50;2021-02-19;4.8;5.6;;;;230;;100.00;97.5
ERICB1B100;2021-02-19;3.6;4.4;4;4;4;731;40;100.00;100
ERICB1B102.50;2021-02-19;2.55;3.35;2.85;2.85;2.85;261;7;100.00;102.5
ERICB1B105;2021-02-19;1.85;2.2;2.1;2.1;2.1;2 233;20;100.00;105
ERICB1B107.50;2021-02-19;1.2;1.85;1.45;1.45;1.45;1 521;10;100.00;107.5
ERICB1B110;2021-02-19;0.75;1.4;;;;2 299;;100.00;110
ERICB1B112.50;2021-02-19;0.5;1;;;;674;;100.00;112.5
ERICB1B115;2021-02-19;0.35;0.8;;;;653;;100.00;115
